name math	physics	chem	literat	english
Katty 65	61	72	84	79
Leo  77	77	76	64	55
Ricky  67	63	49	65	57
Marry 80	69	75	74	63
Mark 74	70	80	84	74
Steven 78	84	75	62	64
Simon 66	71	67	52	57
Angel 77	71	57	72	71
Jed 83	100	79	41	50
Jack 86	94	97	51	55
Mike 74	80	88	64	66
Jetty 67	84	53	58	56
Corner 81	62	69	56	52
Osten 71	64	94	52	52
Liggle 78	96	81	80	76
Over 69	56	67	75	80
Charlie 77	90	80	68	60
Ellin 84	67	75	60	63
Ellen 62	67	83	71	77
Simke 74	65	75	72	73
Peter 91	74	97	62	66
Joke 72	87	72	79	76
Joe 82	70	83	68	85
Kanto 63	70	60	91	82
Amon 74	79	95	59	59
Aril 66	61	77	62	64
Bob 90	82	98	47	60
Joseph 77	90	85	68	76
Linda 91	82	84	54	60
Mirra 78	84	100	51	60
